id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;icao_code;iata_code;gps_code;local_code;home_link;wikipedia_link;keywords
20757;KOPF;medium_airport;Miami-Opa Locka Executive Airport;25.907;-80.278.397;8;NA;US;US-FL;Miami;yes;KOPF;OPF;KOPF;OPF;http://www.miami-airport.com/html/opalocka.html;https://en.wikipedia.org/wiki/Miami-Opa_Locka_Executive_Airport;
3754;KORD;large_airport;Chicago O'Hare International Airport;419.786;-879.048;680;NA;US;US-IL;Chicago;yes;KORD;ORD;KORD;ORD;https://www.flychicago.com/ohare/home/pages/default.aspx;https://en.wikipedia.org/wiki/O'Hare_International_Airport;CHI, Orchard Place
3757;KOSH;medium_airport;Wittman Regional Airport;4.398.440.170.288.080;-8.855.699.920.654.290;808;NA;US;US-WI;Oshkosh;no;KOSH;OSH;KOSH;OSH;http://www.wittmanairport.com/;https://en.wikipedia.org/wiki/Wittman_Regional_Airport;
3758;KOSU;medium_airport;The Ohio State University Airport - Don Scott Field;400.798;-83.072.998;905;NA;US;US-OH;Columbus;no;KOSU;OSU;KOSU;OSU;https://osuairport.org/;https://en.wikipedia.org/wiki/Ohio_State_University_Airport;
20777;KOWD;medium_airport;Norwood Memorial Airport;421.904.983.521;-711.728.973.389;49;NA;US;US-MA;Norwood;no;KOWD;OWD;KOWD;OWD;http://www.ci.norwood.ma.us/Airport/Default.htm;https://en.wikipedia.org/wiki/Norwood_Memorial_Airport;
20805;KPAO;medium_airport;Palo Alto Airport;37.461.102;-122.114.998;4;NA;US;US-CA;Palo Alto;no;KPAO;PAO;KPAO;PAO;https://www.cityofpaloalto.org/Departments/Public-Works/Palo-Alto-Airport;https://en.wikipedia.org/wiki/Palo_Alto_Airport_of_Santa_Clara_County;Santa Clara County
20808;KPBG;medium_airport;Plattsburgh International Airport;44.650.901.794.433.500;-7.346.810.150.146.480;234;NA;US;US-NY;Plattsburgh;yes;KPBG;PBG;KPBG;PBG;http://www.plattsburghinternationalairport.com/;https://en.wikipedia.org/wiki/Plattsburgh_International_Airport;Plattsburgh Air Force Base
3766;KPBI;large_airport;Palm Beach International Airport;26.683.201;-80.095.596;19;NA;US;US-FL;West Palm Beach;yes;KPBI;PBI;KPBI;PBI;https://www.pbia.org/;https://en.wikipedia.org/wiki/Palm_Beach_International_Airport;MFW, South Florida
3767;KPDK;medium_airport;DeKalb Peachtree Airport;3.387.633;-8.430.213;1003;NA;US;US-GA;Atlanta;yes;KPDK;PDK;KPDK;PDK;http://web.co.dekalb.ga.us/pdkairport/index.asp;https://en.wikipedia.org/wiki/DeKalb-Peachtree_Airport;
3768;KPDX;large_airport;Portland International Airport;45.588.699;-122.598;31;NA;US;US-OR;Portland;yes;KPDX;PDX;KPDX;PDX;https://www.flypdx.com/;https://en.wikipedia.org/wiki/Portland_International_Airport;
20821;KPGA;medium_airport;Page Municipal Airport;36.924.234;-111.447.716;4316;NA;US;US-AZ;Page;yes;KPGA;PGA;KPGA;PGA;;https://en.wikipedia.org/wiki/Page_Municipal_Airport;
20822;KPGD;medium_airport;Punta Gorda Airport;269.202;-81.990.501;26;NA;US;US-FL;Punta Gorda;yes;KPGD;PGD;KPGD;PGD;http://www.flypgd.com/;https://en.wikipedia.org/wiki/Punta_Gorda_Airport_(Florida);Charlotte County, Punta Gorda AAF
3772;KPHX;large_airport;Phoenix Sky Harbor International Airport;33.435.302;-112.005.905;1135;NA;US;US-AZ;Phoenix;yes;KPHX;PHX;KPHX;PHX;http://phoenix.gov/skyharborairport/;https://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport;
3783;KPNS;medium_airport;Pensacola International Airport;304.734;-871.866;121;NA;US;US-FL;Pensacola;yes;KPNS;PNS;KPNS;PNS;http://www.flypensacola.com/;https://en.wikipedia.org/wiki/Pensacola_Regional_Airport;
3784;KPOB;medium_airport;Pope Field;35.170.898;-79.014.503;217;NA;US;US-NC;Fort Bragg;no;KPOB;POB;KPOB;POB;http://www.pope.af.mil/;https://en.wikipedia.org/wiki/Pope_Field;Pope AFB, Pope Army Airfield
