"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
4722,"MMLO","medium_airport","Del BajÃ­o International Airport","20,992695","-101,480284",5956,"NA","MX","MX-GUA","Silao","yes","MMLO","BJX","MMLO","BJ1",,"https://en.wikipedia.org/wiki/Del_Baj%C3%ADo_International_Airport",
4723,"MMLP","medium_airport","Manuel MÃ¡rquez de LeÃ³n International Airport","24,072701","-110,362",69,"NA","MX","MX-BCS","La Paz","yes","MMLP","LAP","MMLP",,"https://www.aeropuertosgap.com.mx/en/la-paz-3.html","https://en.wikipedia.org/wiki/La_Paz_International_Airport",
4724,"MMLT","medium_airport","Loreto International Airport","25,98920059","-111,3479996",34,"NA","MX","MX-BCS","Loreto","yes","MMLT","LTO","MMLT",,,"https://en.wikipedia.org/wiki/Loreto_International_Airport",
4725,"MMMA","medium_airport","General Servando Canales International Airport","25,76989937","-97,52529907",25,"NA","MX","MX-TAM","Matamoros","yes","MMMA","MAM","MMMA",,,"https://en.wikipedia.org/wiki/General_Servando_Canales_International_Airport",
4726,"MMMD","large_airport","Manuel Crescencio RejÃ³n International Airport","20,930485","-89,645462",38,"NA","MX","MX-YUC","MÃ©rida","yes","MMMD","MID","MMMD",,,"https://en.wikipedia.org/wiki/Manuel_Crescencio_Rej%C3%B3n_International_Airport",
4727,"MMML","medium_airport","General Rodolfo SÃ¡nchez Taboada International Airport","32,630629","-115,242805",74,"NA","MX","MX-BCN","Mexicali","yes","MMML","MXL","MMML","M1L","http://aeropuertosgap.com.mx/aeropuertos/mexicali?lang=eng","https://en.wikipedia.org/wiki/General_Rodolfo_S%C3%A1nchez_Taboada_International_Airport","Mexicali Airport, Aeropuerto Internacional Gral. Rodolfo SÃ¡nchez Taboada"
4728,"MMMM","medium_airport","General Francisco J. Mujica International Airport","19,849899","-101,025002",6033,"NA","MX","MX-MIC","Morelia","yes","MMMM","MLM","MMMM",,,"https://en.wikipedia.org/wiki/General_Francisco_J._Mujica_International_Airport",
4729,"MMMT","medium_airport","MinatitlÃ¡n/Coatzacoalcos International Airport","18,103399","-94,580704",36,"NA","MX","MX-VER","Cosoleacaque","yes","MMMT","MTT","MMMT",,"http://www.asur.com.mx/asur/ingles/aeropuertos/minatitlan/minatitlan.asp","https://en.wikipedia.org/wiki/Minatitl%C3%A1n/Coatzacoalcos_International_Airport",
4730,"MMMV","medium_airport","Monclova International Airport","26,9557","-101,470001",1864,"NA","MX","MX-COA","Monclova","no","MMMV","LOV","MMMV","MOV",,"https://en.wikipedia.org/wiki/Venustiano_Carranza_International_Airport",
4731,"MMMX","large_airport","Benito JuÃ¡rez International Airport","19,435137","-99,071328",7316,"NA","MX","MX-DIF","Ciudad de MÃ©xico","yes","MMMX","MEX","MMMX","ME1","https://www.aicm.com.mx","https://en.wikipedia.org/wiki/Mexico_City_International_Airport","AICM"
4732,"MMMY","large_airport","Monterrey International Airport","25,778521","-100,106989",1278,"NA","MX","MX-NLE","Monterrey","yes","MMMY","MTY","MMMY",,"https://aeropuertomonterrey.oma.aero/es/","https://en.wikipedia.org/wiki/General_Mariano_Escobedo_International_Airport","General Mariano Escobedo, Apodaca"
4733,"MMMZ","large_airport","General Rafael Buelna International Airport","23,161474","-106,264572",38,"NA","MX","MX-SIN","MazatlÃ n","yes","MMMZ","MZT","MMMZ",,,"https://en.wikipedia.org/wiki/Mazatl%C3%A1n_International_Airport",
4735,"MMNL","medium_airport","QuetzalcÃ³atl International Airport","27,443899","-99,570503",484,"NA","MX","MX-TAM","Nuevo Laredo","yes","MMNL","NLD","MMNL",,,"https://en.wikipedia.org/wiki/Quetzalc%C3%B3atl_International_Airport",
